year,mean_global_co2_level,mean_global_co2_change
921,278.804,-0.00466%
922,278.792,-0.00430%
923,278.784,-0.00287%
924,278.772,-0.00430%
925,278.768,-0.00143%
926,278.753,-0.00538%
927,278.742,-0.00395%
928,278.74,-0.00072%
929,278.723,-0.00610%
930,278.713,-0.00359%
931,278.704,-0.00323%
932,278.696,-0.00287%
933,278.684,-0.00431%
934,278.679,-0.00179%
935,278.673,-0.00215%
936,278.658,-0.00538%
937,278.649,-0.00323%
938,278.644,-0.00179%
939,278.639,-0.00179%
940,278.63,-0.00323%
941,278.622,-0.00287%
942,278.617,-0.00179%
943,278.611,-0.00215%
944,278.615,0.00144%
945,278.624,0.00323%
946,278.63,0.00215%
947,278.635,0.00179%
948,278.635,0.00000%
949,278.64,0.00179%
950,278.652,0.00431%
951,278.653,0.00036%
952,278.661,0.00287%
953,278.672,0.00395%
954,278.699,0.00969%
955,278.708,0.00323%
956,278.719,0.00395%
957,278.727,0.00287%
958,278.735,0.00287%
959,278.75,0.00538%
960,278.757,0.00251%
961,278.763,0.00215%
962,278.775,0.00430%
963,278.787,0.00430%
964,278.796,0.00323%
965,278.81,0.00502%
966,278.82,0.00359%
967,278.839,0.00681%
968,278.854,0.00538%
969,278.89,0.01291%
970,278.907,0.00610%
971,278.923,0.00574%
972,278.949,0.00932%
973,278.96,0.00394%
974,278.963,0.00108%
975,278.972,0.00323%
976,278.978,0.00215%
977,278.986,0.00287%
978,278.996,0.00358%
979,279.006,0.00358%
980,279.008,0.00072%
981,279.024,0.00573%
982,279.038,0.00502%
983,279.057,0.00681%
984,279.069,0.00430%
985,279.092,0.00824%
986,279.115,0.00824%
987,279.148,0.01182%
988,279.169,0.00752%
989,279.183,0.00501%
990,279.201,0.00645%
991,279.217,0.00573%
992,279.241,0.00860%
993,279.262,0.00752%
994,279.278,0.00573%
995,279.294,0.00573%
996,279.314,0.00716%
997,279.339,0.00895%
998,279.358,0.00680%
999,279.382,0.00859%
1000,279.404,0.00787%
1001,279.426,0.00787%
1002,279.448,0.00787%
1003,279.477,0.01038%
1004,279.499,0.00787%
1005,279.524,0.00894%
1006,279.541,0.00608%
1007,279.56,0.00680%
1008,279.579,0.00680%
1009,279.601,0.00787%
1010,279.63,0.01037%
1011,279.661,0.01109%
1012,279.692,0.01108%
1013,279.73,0.01359%
1014,279.76,0.01072%
1015,279.795,0.01251%
1016,279.828,0.01179%
1017,279.86,0.01143%
1018,279.892,0.01143%
1019,279.917,0.00893%
1020,279.949,0.01143%
1021,279.984,0.01250%
1022,280.018,0.01214%
1023,280.052,0.01214%
1024,280.087,0.01250%
1025,280.126,0.01392%
1026,280.164,0.01356%
1027,280.2,0.01285%
1028,280.236,0.01285%
1029,280.276,0.01427%
1030,280.313,0.01320%
1031,280.353,0.01427%
1032,280.395,0.01498%
1033,280.437,0.01498%
1034,280.48,0.01533%
1035,280.514,0.01212%
1036,280.554,0.01426%
1037,280.591,0.01319%
1038,280.632,0.01461%
1039,280.674,0.01497%
1040,280.71,0.01283%
1041,280.754,0.01567%
1042,280.793,0.01389%
1043,280.835,0.01496%
1044,280.876,0.01460%
1045,280.913,0.01317%
1046,280.955,0.01495%
1047,280.991,0.01281%
1048,281.034,0.01530%
1049,281.079,0.01601%
1050,281.128,0.01743%
1051,281.173,0.01601%
1052,281.218,0.01600%
1053,281.273,0.01956%
1054,281.328,0.01955%
1055,281.371,0.01528%
1056,281.418,0.01670%
1057,281.46,0.01492%
1058,281.512,0.01847%
1059,281.557,0.01598%
1060,281.601,0.01563%
1061,281.641,0.01420%
1062,281.685,0.01562%
1063,281.729,0.01562%
1064,281.768,0.01384%
1065,281.802,0.01207%
1066,281.838,0.01277%
1067,281.873,0.01242%
1068,281.91,0.01313%
1069,281.948,0.01348%
1070,281.983,0.01241%
1071,282.023,0.01418%
1072,282.061,0.01347%
1073,282.097,0.01276%
1074,282.133,0.01276%
1075,282.173,0.01418%
1076,282.207,0.01205%
1077,282.245,0.01346%
1078,282.282,0.01311%
1079,282.314,0.01134%
1080,282.35,0.01275%
1081,282.384,0.01204%
1082,282.416,0.01133%
1083,282.45,0.01204%
1084,282.483,0.01168%
1085,282.513,0.01062%
1086,282.547,0.01203%
1087,282.578,0.01097%
1088,282.607,0.01026%
1089,282.647,0.01415%
1090,282.68,0.01167%
1091,282.707,0.00955%
1092,282.738,0.01096%
1093,282.773,0.01238%
1094,282.804,0.01096%
1095,282.832,0.00990%
1096,282.861,0.01025%
1097,282.882,0.00742%
1098,282.915,0.01166%
1099,282.947,0.01131%
1100,282.969,0.00778%
1101,282.996,0.00954%
1102,283.021,0.00883%
1103,283.048,0.00954%
1104,283.077,0.01025%
1105,283.105,0.00989%
1106,283.135,0.01060%
1107,283.167,0.01130%
